study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias
PRJNA215932	SAMN02691621	SRS577697	SRX495510	SRR1931701	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931701/SRR1931701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931701/SRR1931701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931701/SRR1931701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931701/SRR1931701_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR193/001/SRR1931701	ftp.sra.ebi.ac.uk/vol1/srr/SRR193/001/SRR1931701			MD221
PRJNA215932	SAMN02691687	SRS577696	SRX495507	SRR1943276	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943276/SRR1943276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943276/SRR1943276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943276/SRR1943276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943276/SRR1943276_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/006/SRR1943276	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/006/SRR1943276			MD233
PRJNA215932	SAMN02691623	SRS579534	SRX497553	SRR1943277	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943277/SRR1943277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943277/SRR1943277_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943277/SRR1943277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943277/SRR1943277_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/007/SRR1943277	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/007/SRR1943277			MD63
PRJNA215932	SAMN02691624	SRS579537	SRX497556	SRR1943278	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943278/SRR1943278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943278/SRR1943278_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943278/SRR1943278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943278/SRR1943278_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/008/SRR1943278	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/008/SRR1943278			NS40
PRJNA215932	SAMN02691625	SRS579538	SRX497557	SRR1943279	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943279/SRR1943279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943279/SRR1943279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943279/SRR1943279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943279/SRR1943279_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR1943279	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR1943279			MD251
PRJNA215932	SAMN02691626	SRS579539	SRX497558	SRR1943280	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943280/SRR1943280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943280/SRR1943280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943280/SRR1943280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943280/SRR1943280_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/000/SRR1943280	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/000/SRR1943280			MD105
PRJNA215932	SAMN02691627	SRS579540	SRX497559	SRR1943281	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943281/SRR1943281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943281/SRR1943281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943281/SRR1943281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943281/SRR1943281_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/001/SRR1943281	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/001/SRR1943281			MD199
PRJNA215932	SAMN02691628	SRS579541	SRX497560	SRR1943282	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943282/SRR1943282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943282/SRR1943282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943282/SRR1943282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943282/SRR1943282_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/002/SRR1943282	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/002/SRR1943282			NS05
PRJNA215932	SAMN02691629	SRS579542	SRX497561	SRR1943283	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943283/SRR1943283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943283/SRR1943283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943283/SRR1943283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943283/SRR1943283_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/003/SRR1943283	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/003/SRR1943283			NS137
PRJNA215932	SAMN02691630	SRS579543	SRX497562	SRR1943284	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943284/SRR1943284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943284/SRR1943284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943284/SRR1943284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943284/SRR1943284_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR1943284	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR1943284			NS39
