study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias
PRJEB7673	SAMEA3110339	ERS577567	ERX623610	ERR668305	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668305/ERR668305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668305/ERR668305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668305/ERR668305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668305/ERR668305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668305	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668305			NS11
PRJEB7673	SAMEA3110340	ERS577568	ERX623611	ERR668306	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668306/ERR668306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668306/ERR668306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668306/ERR668306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668306/ERR668306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS19_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS19_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS19_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS19_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668306	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668306			NS19
PRJEB7673	SAMEA3110341	ERS577569	ERX623612	ERR668307	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668307/ERR668307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668307/ERR668307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668307/ERR668307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668307/ERR668307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS37_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS37_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS37_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS37_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668307	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668307			NS37
PRJEB7673	SAMEA3110342	ERS577570	ERX623613	ERR668308	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668308/ERR668308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668308/ERR668308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668308/ERR668308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668308/ERR668308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS49_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS49_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS49_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS49_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668308	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668308			NS49
PRJEB7673	SAMEA3110343	ERS577571	ERX623614	ERR668309	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668309/ERR668309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668309/ERR668309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668309/ERR668309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668309/ERR668309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS63_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS63_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS63_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS63_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668309	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668309			NS63
PRJEB7673	SAMEA3110344	ERS577572	ERX623615	ERR668310	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668310/ERR668310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668310/ERR668310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668310/ERR668310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668310/ERR668310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS64_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS64_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS64_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS64_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668310	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668310			NS64
PRJEB7673	SAMEA3110345	ERS577573	ERX623616	ERR668311	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668311/ERR668311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668311/ERR668311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668311/ERR668311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668311/ERR668311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS89_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS89_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS89_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS89_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668311	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668311			NS89
PRJEB7673	SAMEA3110346	ERS577574	ERX623617	ERR668312	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668312/ERR668312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668312/ERR668312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668312/ERR668312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668312/ERR668312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS95_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS95_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS95_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS95_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668312	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668312			NS95
PRJEB7673	SAMEA3110347	ERS577575	ERX623618	ERR668313	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668313/ERR668313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668313/ERR668313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668313/ERR668313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668313/ERR668313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS96_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS96_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS96_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS96_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668313	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668313			NS96
PRJEB7673	SAMEA3110348	ERS577576	ERX623619	ERR668314	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668314/ERR668314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668314/ERR668314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668314/ERR668314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668314/ERR668314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668314	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668314			NS111
